id,transaction_id,demand_transaction,spare_id,tool_id,box_no,prev_qty,withdrawl_qty,transaction_date
1,TY1774609867747,,22,,R001,0,0,2026-03-27 16:41:09
2,TY1774609867747,,22,,R002,0,0,2026-03-27 16:41:09
3,TY1774609894830,,22,,R001,0,0,2026-03-27 16:41:38
4,TY1774609894830,,22,,R002,0,0,2026-03-27 16:41:38
5,TY1774610157872,,,8,001,0,0,2026-03-27 16:45:59
6,TY1774610255091,,,25,R12335,0,0,2026-03-27 16:47:36
7,TY1774610255091,,,25,R658,0,0,2026-03-27 16:47:36
8,TY1774610389463,,,2,001,0,0,2026-03-27 16:50:25
9,TY1774610389463,,,2,002,0,0,2026-03-27 16:50:25
10,TY1774610424022,,,2,001,0,0,2026-03-27 16:50:25
11,TY1774610424022,,,2,002,0,0,2026-03-27 16:50:25
12,TY1774611896271,,6,,001,0,0,2026-03-27 17:15:32
13,TY1774611896271,,6,,002,0,0,2026-03-27 17:15:32
14,TY1774611926999,,6,,001,0,0,2026-03-27 17:15:32
15,TY1774611926999,,6,,002,0,0,2026-03-27 17:15:32
